"","1%","5%","10%"
"Distribution 1",0.0314,0.015962962962963,0.0130069444444444
"Distribution 2",0.0267284023668639,0.0186429752066116,0.0130859504132231
"Distribution 3",0.0234124763705104,0.0163719008264463,0.0125611111111111
"Distribution 4",0.022698615916955,0.0157312060573283,0.0123625
"Distribution 5",0.0283909090909091,0.0173081632653061,0.0133
"Distribution 6",0.02435,0.0172923742563548,0.0133614958448753
"Distribution 7",0.0278107741059303,0.0170013888888889,0.013097263533611
"Distribution 8",0.0265629489603025,0.0163121199500208,0.012898347107438
"Distribution 9",0.0298111531190926,0.0173253122945431,0.0142923875432526
"Distribution 10",0.0246641975308642,0.0178987654320988,0.0136173913043478
