"","x"
"1",0.5018
"2",0.364
"3",0.36
"4",0.352722222222222
"5",0.3364
"6",0.3339
"7",0.3267
"8",0.3249
"9",0.3222
"10",0.3177
"11",0.3136
"12",0.3136
"13",0.3103
"14",0.3084
"15",0.3078
"16",0.307
"17",0.3034
"18",0.2989
"19",0.2963
"20",0.2949
"21",0.2934
"22",0.2917
"23",0.2916
"24",0.289055555555556
"25",0.2819
"26",0.2809
"27",0.2809
"28",0.2809
"29",0.2755
"30",0.2753
"31",0.274288888888889
"32",0.2741
"33",0.2722
"34",0.2704
"35",0.2704
"36",0.2704
"37",0.269666666666667
"38",0.269211111111111
"39",0.266887755102041
"40",0.2638
"41",0.2622
"42",0.2601
"43",0.2601
"44",0.2601
"45",0.2601
"46",0.2601
"47",0.2601
"48",0.256532653061224
"49",0.2542
"50",0.25
"51",0.25
"52",0.249
"53",0.2482
"54",0.245963265306122
"55",0.2444
"56",0.243888888888889
"57",0.243688888888889
"58",0.243
"59",0.240455555555556
"60",0.2401
"61",0.2378
"62",0.2319
"63",0.230333333333333
"64",0.2281
"65",0.2268
"66",0.2254
"67",0.2254
"68",0.2237
"69",0.223155555555556
"70",0.2221
"71",0.2214
"72",0.2212
"73",0.2209
"74",0.220766666666667
"75",0.217888888888889
"76",0.217688888888889
"77",0.2153
"78",0.214355555555556
"79",0.2142
"80",0.212322222222222
"81",0.212066666666667
"82",0.2118
"83",0.2116
"84",0.2116
"85",0.2102
"86",0.207
"87",0.207
"88",0.2061
"89",0.2043
"90",0.203830612244898
"91",0.2036
"92",0.203422222222222
"93",0.2031
"94",0.203
"95",0.203
"96",0.2027
"97",0.199155555555556
"98",0.198959183673469
"99",0.1989
"100",0.1987
"101",0.1983
"102",0.1981
"103",0.1958
"104",0.1957
"105",0.195388888888889
"106",0.194
"107",0.1933
"108",0.193044897959184
"109",0.1915
"110",0.190833333333333
"111",0.1902
"112",0.190133333333333
"113",0.1899
"114",0.1877
"115",0.1873
"116",0.1862
"117",0.185766666666667
"118",0.1854
"119",0.1852
"120",0.1852
"121",0.1845
"122",0.1823
"123",0.1823
"124",0.1823
"125",0.182222222222222
"126",0.182
"127",0.181355555555556
"128",0.1811
"129",0.1811
"130",0.1811
"131",0.1811
"132",0.180922222222222
"133",0.1805
"134",0.1799
"135",0.179388888888889
"136",0.178502040816326
"137",0.1779
"138",0.177488888888889
"139",0.1772
"140",0.1771
"141",0.177
"142",0.177
"143",0.177
"144",0.1764
"145",0.175987755102041
"146",0.175455555555556
"147",0.175322222222222
"148",0.175155555555556
"149",0.175
"150",0.174755555555556
"151",0.1747
"152",0.1747
"153",0.174666666666667
"154",0.1746
"155",0.174
"156",0.1737
"157",0.1737
"158",0.1735
"159",0.1733
"160",0.1725
"161",0.1725
"162",0.1722
"163",0.1703
"164",0.1701
"165",0.1698
"166",0.1697
"167",0.1694
"168",0.1681
"169",0.167133333333333
"170",0.1666
"171",0.1666
"172",0.1659
"173",0.1658
"174",0.1657
"175",0.1649
"176",0.1647
"177",0.1646
"178",0.1645
"179",0.164288888888889
"180",0.164183673469388
"181",0.164
"182",0.164
"183",0.164
"184",0.1634
"185",0.163
"186",0.1625
"187",0.1616
"188",0.1608
"189",0.1598
"190",0.1591
"191",0.159088888888889
"192",0.1589
"193",0.1586
"194",0.1583
"195",0.157
"196",0.157
"197",0.1562
"198",0.1552
"199",0.1551
"200",0.155
"201",0.1549
"202",0.154411111111111
"203",0.1543
"204",0.1538
"205",0.1538
"206",0.153522222222222
"207",0.1531
"208",0.152266666666667
"209",0.1521
"210",0.1517
"211",0.1517
"212",0.1514
"213",0.1514
"214",0.1514
"215",0.151
"216",0.150866666666667
"217",0.1508
"218",0.1507
"219",0.1501
"220",0.1496
"221",0.1491
"222",0.1482
"223",0.1481
"224",0.1481
"225",0.148
"226",0.148
"227",0.148
"228",0.1472
"229",0.1471
"230",0.1469
"231",0.1469
"232",0.146304081632653
"233",0.1461
"234",0.1459
"235",0.1456
"236",0.145511111111111
"237",0.1451
"238",0.145
"239",0.145
"240",0.1445
"241",0.143
"242",0.142766666666667
"243",0.1426
"244",0.1421
"245",0.1419
"246",0.1418
"247",0.141522222222222
"248",0.141355555555556
"249",0.1413
"250",0.1412
"251",0.1412
"252",0.1412
"253",0.141122222222222
"254",0.1403
"255",0.1401
"256",0.1399
"257",0.1391
"258",0.139
"259",0.138704081632653
"260",0.1385
"261",0.1378
"262",0.137
"263",0.1369
"264",0.136466666666667
"265",0.136066666666667
"266",0.1358
"267",0.135588888888889
"268",0.135
"269",0.134377777777778
"270",0.134188888888889
"271",0.133233333333333
"272",0.1329
"273",0.1325
"274",0.132289795918367
"275",0.132211111111111
"276",0.1322
"277",0.131811111111111
"278",0.1315
"279",0.1313
"280",0.1313
"281",0.131044444444444
"282",0.130861224489796
"283",0.130611111111111
"284",0.1306
"285",0.1302
"286",0.13
"287",0.1298
"288",0.129211111111111
"289",0.1286
"290",0.1285
"291",0.1285
"292",0.1282
"293",0.128
"294",0.127633333333333
"295",0.127055555555556
"296",0.1268
"297",0.1267
"298",0.125855555555556
"299",0.1258
"300",0.125
"301",0.124933333333333
"302",0.124724489795918
"303",0.124455555555556
"304",0.123222222222222
"305",0.123142857142857
"306",0.122511111111111
"307",0.1224
"308",0.1224
"309",0.122188888888889
"310",0.122
"311",0.1217
"312",0.1217
"313",0.1205
"314",0.119934693877551
"315",0.1199
"316",0.1199
"317",0.119777777777778
"318",0.1193
"319",0.1193
"320",0.118955555555556
"321",0.1189
"322",0.1189
"323",0.118422222222222
"324",0.118155555555556
"325",0.118
"326",0.1179
"327",0.1169
"328",0.1167
"329",0.116555555555556
"330",0.116279591836735
"331",0.1162
"332",0.1161
"333",0.115922222222222
"334",0.1156
"335",0.1154
"336",0.1152
"337",0.115122222222222
"338",0.114416326530612
"339",0.1143
"340",0.113355555555556
"341",0.1125
"342",0.1125
"343",0.1122
"344",0.111755555555556
"345",0.1117
"346",0.1115
"347",0.111388888888889
"348",0.111159183673469
"349",0.111155555555556
"350",0.111120408163265
"351",0.111033333333333
"352",0.110955555555556
"353",0.1109
"354",0.1108
"355",0.110788888888889
"356",0.1106
"357",0.110555555555556
"358",0.109
"359",0.108733333333333
"360",0.108288888888889
"361",0.108211111111111
"362",0.108211111111111
"363",0.107555555555556
"364",0.1074
"365",0.1073
"366",0.1069
"367",0.1066
"368",0.1066
"369",0.1065
"370",0.106144897959184
"371",0.106
"372",0.1058
"373",0.1055
"374",0.105487755102041
"375",0.1048
"376",0.1038
"377",0.103444897959184
"378",0.1034
"379",0.103077777777778
"380",0.103
"381",0.10275
"382",0.1025
"383",0.102216326530612
"384",0.1021
"385",0.1021
"386",0.1021
"387",0.102
"388",0.101788888888889
"389",0.1017
"390",0.1014
"391",0.1013
"392",0.101
"393",0.101
"394",0.1009
"395",0.1004
"396",0.1004
"397",0.1003
"398",0.1001
"399",0.0998555555555555
"400",0.0995
"401",0.0995
"402",0.0993444444444444
"403",0.0991333333333333
"404",0.0989
"405",0.0988555555555555
"406",0.0987
"407",0.0982
"408",0.0981
"409",0.0980666666666667
"410",0.0980222222222222
"411",0.0979
"412",0.0978888888888889
"413",0.0978448979591837
"414",0.0978
"415",0.0977
"416",0.0975
"417",0.0975
"418",0.0973
"419",0.0969
"420",0.0969
"421",0.0968
"422",0.0965
"423",0.0965
"424",0.0965
"425",0.0965
"426",0.0964222222222222
"427",0.0964
"428",0.0961
"429",0.0961
"430",0.0959
"431",0.0959
"432",0.0955555555555555
"433",0.0955
"434",0.0954
"435",0.0950333333333333
"436",0.095
"437",0.0948
"438",0.0946
"439",0.0945
"440",0.0941888888888889
"441",0.0941888888888889
"442",0.0941
"443",0.0938
"444",0.0937
"445",0.0937
"446",0.0936
"447",0.0932
"448",0.0931632653061225
"449",0.093
"450",0.093
"451",0.093
"452",0.0929
"453",0.0927
"454",0.0927
"455",0.0924
"456",0.0919555555555556
"457",0.0919
"458",0.0917
"459",0.091665306122449
"460",0.0915
"461",0.0915
"462",0.0914
"463",0.0912666666666666
"464",0.0909555555555556
"465",0.0907795918367347
"466",0.0906
"467",0.0905
"468",0.0905
"469",0.0905
"470",0.0905
"471",0.0904428571428571
"472",0.0903222222222222
"473",0.0902
"474",0.0902
"475",0.0901448979591837
"476",0.09
"477",0.0894
"478",0.0893222222222222
"479",0.0893163265306123
"480",0.0893163265306122
"481",0.0893
"482",0.0891
"483",0.0889222222222222
"484",0.0889
"485",0.0889
"486",0.0887
"487",0.0887
"488",0.0885
"489",0.0885
"490",0.0885
"491",0.0883222222222222
"492",0.0883222222222222
"493",0.0883
"494",0.0882
"495",0.0881
"496",0.0881
"497",0.0880222222222223
"498",0.0877
"499",0.0876
"500",0.0875
"501",0.0869
"502",0.0869
"503",0.0869
"504",0.0869
"505",0.0868
"506",0.0867
"507",0.0865
"508",0.0864888888888889
"509",0.0864888888888889
"510",0.0864857142857143
"511",0.0864
"512",0.0863
"513",0.0862
"514",0.0860888888888889
"515",0.0859333333333333
"516",0.0859
"517",0.0858888888888889
"518",0.0858
"519",0.0857888888888889
"520",0.0857
"521",0.0856666666666666
"522",0.0854
"523",0.0854
"524",0.0852
"525",0.0851
"526",0.085
"527",0.0849
"528",0.0847
