"","1%","5%","10%"
"Distribution 1",0.0479041623309053,0.0343769547325103,0.0281222222222222
"Distribution 2",0.0505434007134364,0.0341826446280992,0.0279222222222222
"Distribution 3",0.0560334126040428,0.0357611111111111,0.0278766909469303
"Distribution 4",0.0481530612244898,0.0368,0.029180487804878
"Distribution 5",0.0509777777777778,0.0329,0.0259593964334705
"Distribution 6",0.0489695501730104,0.0344589481373265,0.02681875
"Distribution 7",0.0472905482041588,0.035153125,0.0299555555555556
"Distribution 8",0.0519875,0.0334740740740741,0.0273
"Distribution 9",0.0457582639714625,0.0348918367346939,0.026728125
"Distribution 10",0.0475111111111111,0.0332277777777778,0.0260164090368609
