"","1%","5%","10%"
"Distribution 1",0.140311111111111,0.0941739644970414,0.0782666666666667
"Distribution 2",0.15395,0.095883044982699,0.0804755102040817
"Distribution 3",0.143920408163265,0.0960777777777778,0.0803662721893491
"Distribution 4",0.1509,0.0979668639053255,0.0818
"Distribution 5",0.12452962962963,0.094858024691358,0.0779345679012346
"Distribution 6",0.1468,0.107169822485207,0.0836556213017751
"Distribution 7",0.1529,0.0916421487603306,0.0758827160493827
"Distribution 8",0.131280991735537,0.0953222222222222,0.0803111111111111
"Distribution 9",0.1627,0.101208284023669,0.0807094674556213
"Distribution 10",0.131604938271605,0.100755555555556,0.0822809917355372
