"","x"
"1",0.5476
"2",0.540885119667014
"3",0.48570987654321
"4",0.482586167800453
"5",0.481445865556216
"6",0.477674515235457
"7",0.469779421433268
"8",0.468450164365549
"9",0.460812742382271
"10",0.454458448753463
"11",0.452869387755102
"12",0.4489
"13",0.445975510204082
"14",0.4356
"15",0.423531404958678
"16",0.418619008264463
"17",0.417832231404959
"18",0.40547290427258
"19",0.398015789473684
"20",0.396213223140496
"21",0.391618367346939
"22",0.388510204081633
"23",0.3844
"24",0.3844
"25",0.3844
"26",0.3844
"27",0.381610197710718
"28",0.379906805293006
"29",0.3757
"30",0.374701652892562
"31",0.3721
"32",0.3721
"33",0.368592403746098
"34",0.363684775086505
"35",0.361811768573307
"36",0.36
"37",0.349
"38",0.3481
"39",0.3481
"40",0.338863710113575
"41",0.337917739318551
"42",0.3364
"43",0.336213580246914
"44",0.335190927021696
"45",0.331388888888889
"46",0.330955555555556
"47",0.321682101977107
"48",0.320762358276644
"49",0.319257396449704
"50",0.319079591836735
"51",0.316255555555556
"52",0.3136
"53",0.3136
"54",0.3136
"55",0.311696878251821
"56",0.309078895463511
"57",0.305228571428571
"58",0.303604651162791
"59",0.302046103509816
"60",0.301497764628534
"61",0.299765088757396
"62",0.297388542868128
"63",0.295001297998918
"64",0.29442271468144
"65",0.29442271468144
"66",0.29370276816609
"67",0.293689473684211
"68",0.293463265306122
"69",0.2916
"70",0.290894459833795
"71",0.290894459833795
"72",0.289383950617284
"73",0.286463327032136
"74",0.283354166666667
"75",0.281832333717801
"76",0.281665306122449
"77",0.278219031141869
"78",0.277569822485207
"79",0.274907407407407
"80",0.271248788927336
"81",0.2704
"82",0.2704
"83",0.267319526627219
"84",0.266982993197279
"85",0.264544616299822
"86",0.264204958677686
"87",0.262173356401384
"88",0.262083364839319
"89",0.2601
"90",0.260047107438017
"91",0.258343598615917
"92",0.256571029149316
"93",0.25516127547666
"94",0.254436817882972
"95",0.253879206049149
"96",0.253101388888889
"97",0.252894736842105
"98",0.25
"99",0.24962854442344
"100",0.248687534626039
"101",0.248687534626039
"102",0.248279591836735
"103",0.247932098765432
"104",0.246395691609977
"105",0.246065556216538
"106",0.245836109458656
"107",0.244324930747922
"108",0.243990304709141
"109",0.243914792899408
"110",0.243698611111111
"111",0.242445983379501
"112",0.242445983379501
"113",0.241912076145152
"114",0.241243786982249
"115",0.240912110726644
"116",0.239906172839506
"117",0.238776383105294
"118",0.238162399077278
"119",0.237261557684298
"120",0.237012396694215
"121",0.2353
"122",0.235185871056241
"123",0.235185871056241
"124",0.233303844784621
"125",0.233088888888889
"126",0.232157369614512
"127",0.230925144175317
"128",0.229932183224271
"129",0.228455555555556
"130",0.228401546698394
"131",0.2273
"132",0.22700215301807
"133",0.2266
"134",0.226406243496358
"135",0.225
"136",0.224768262226847
"137",0.222740720221607
"138",0.222461728395062
"139",0.220976859504132
"140",0.2209
"141",0.218964197530864
"142",0.218575302338081
"143",0.218263642340565
"144",0.21797663601947
"145",0.216999524092802
"146",0.215623324150597
"147",0.215269252077562
"148",0.214555555555556
"149",0.212395041322314
"150",0.212189196452566
"151",0.2117
"152",0.2116
"153",0.205037396121884
"154",0.203945706371191
"155",0.203214404432133
"156",0.202535986159169
"157",0.2025
"158",0.2025
"159",0.20234681130835
"160",0.202060816984681
"161",0.20123239588967
"162",0.200964932362123
"163",0.19865
"164",0.198496371207615
"165",0.197660207612457
"166",0.197312426035503
"167",0.19687202268431
"168",0.196061728395062
"169",0.195468704799474
"170",0.1936
"171",0.1936
"172",0.1936
"173",0.1936
"174",0.1936
"175",0.1936
"176",0.192378827977316
"177",0.188245983379501
"178",0.187733136094675
"179",0.186248834019204
"180",0.186248834019204
"181",0.185953506585974
"182",0.185329719338716
"183",0.185079166666667
"184",0.182286419753086
"185",0.181560219478738
"186",0.181463313609467
"187",0.179735537190083
"188",0.179735537190083
"189",0.179268005843682
"190",0.17918792866941
"191",0.17918792866941
"192",0.178822222222222
"193",0.178753125
"194",0.178621573513706
"195",0.178621573513706
"196",0.1778125
"197",0.177428681276432
"198",0.177428681276432
"199",0.176988888888889
"200",0.1768
"201",0.1768
"202",0.176626758711374
"203",0.1764
"204",0.176130177514793
"205",0.176042975206612
"206",0.176017844665412
"207",0.175555555555556
"208",0.175480715850986
"209",0.174906172839506
"210",0.174432570239334
"211",0.173481285444234
"212",0.173204958677686
"213",0.17242899408284
"214",0.172417283950617
"215",0.172417283950617
"216",0.171522843545509
"217",0.171512396694215
"218",0.169896885813149
"219",0.169848780487805
"220",0.1696
"221",0.16954565376187
"222",0.169
"223",0.168688888888889
"224",0.1681
"225",0.167191358024691
"226",0.1670902695595
"227",0.166951388888889
"228",0.166902040816327
"229",0.165577508650519
"230",0.165170203767782
"231",0.162734332948866
"232",0.162530177514793
"233",0.162449826989619
"234",0.16198347107438
"235",0.160143801652893
"236",0.160018055555556
"237",0.159316780045352
"238",0.15915
"239",0.159117283950617
"240",0.158875994513032
"241",0.158875994513032
"242",0.1576
"243",0.157569455322179
"244",0.15731052631579
"245",0.15695
"246",0.156908012486993
"247",0.155994459833795
"248",0.155924554183813
"249",0.155924554183813
"250",0.155892570677186
"251",0.155548804084923
"252",0.154852708907254
"253",0.154456930398572
"254",0.154388280785247
"255",0.15433703305563
"256",0.154271626913492
"257",0.1538875
"258",0.1534
"259",0.153206427221172
"260",0.152943764172336
"261",0.1521
"262",0.1521
"263",0.1521
"264",0.1521
"265",0.1521
"266",0.1521
"267",0.1521
"268",0.15183121748179
"269",0.151738941398866
"270",0.151391015339664
"271",0.151307256235828
"272",0.150811610918877
"273",0.149890816326531
"274",0.149890816326531
"275",0.1497
"276",0.149452908587258
"277",0.149452908587258
"278",0.14920830449827
"279",0.148754610350982
"280",0.148138200183655
"281",0.147289940828402
"282",0.147126530612245
"283",0.146959375
"284",0.146872694824509
"285",0.145401504971782
"286",0.145
"287",0.144069230769231
"288",0.143496566837107
"289",0.142907911957168
"290",0.141580437044745
"291",0.140978737997256
"292",0.140055621301775
"293",0.13795
"294",0.137565432098765
"295",0.137226530612245
"296",0.136829362880886
"297",0.136829362880886
"298",0.135984478462086
"299",0.13423010113028
"300",0.134120811654526
"301",0.133799173553719
"302",0.13345
"303",0.131402493074792
"304",0.131036406900654
"305",0.1305
"306",0.1305
"307",0.129950986121256
"308",0.129616620498615
"309",0.1296
"310",0.1296
"311",0.129172813801309
"312",0.128492307692308
"313",0.128196785975164
"314",0.12795
"315",0.127794444444444
"316",0.1277
"317",0.127681632653061
"318",0.127220661157025
"319",0.126761035098156
"320",0.126396982167353
"321",0.125961728395062
"322",0.12588540433925
"323",0.125555555555556
"324",0.125325619834711
"325",0.123679300291545
"326",0.123433106575964
"327",0.123420408163265
"328",0.1234
"329",0.122818917311124
"330",0.122507266435986
"331",0.1225
"332",0.121559375
"333",0.121379815910585
"334",0.121352066115703
"335",0.120833207138994
"336",0.119839083878644
"337",0.118257142857143
"338",0.1182
"339",0.118060270558918
"340",0.117864462809917
"341",0.116950617283951
"342",0.116733254015467
"343",0.116509161213563
"344",0.1161375
"345",0.1154
"346",0.115226232741617
"347",0.115108230452675
"348",0.1149
"349",0.114177712031558
"350",0.113947826086957
"351",0.113458333333333
"352",0.1132
"353",0.113095041322314
"354",0.112134375
"355",0.111883431952663
"356",0.1105
"357",0.110222314049587
"358",0.109834451019066
"359",0.1097
"360",0.109477777777778
"361",0.109
"362",0.109
"363",0.1079
"364",0.107872050524053
"365",0.10755
"366",0.107497084548105
"367",0.107407830070804
"368",0.107234602076125
"369",0.106681632653061
"370",0.106259002770083
"371",0.105937190082645
"372",0.1052
"373",0.105145562130178
"374",0.103969896193772
"375",0.1025
"376",0.1024
"377",0.1024
"378",0.102204223676383
"379",0.102188888888889
"380",0.100639738251041
"381",0.100554610350982
"382",0.100200538254517
"383",0.0998714285714285
"384",0.0998
"385",0.0996390532544379
"386",0.0991390022675737
"387",0.09905
"388",0.0987555555555556
"389",0.0986970808116767
"390",0.0970694824509221
"391",0.0968338842975207
"392",0.0958244897959184
"393",0.0957597222222222
"394",0.0955253469685902
"395",0.0954876033057852
"396",0.0946930555555555
"397",0.09468891966759
"398",0.09409890260631
"399",0.0940319526627219
"400",0.09315
"401",0.0928808532778356
"402",0.0928
"403",0.0927316896778435
"404",0.0925550295857989
"405",0.0925
"406",0.0924591836734694
"407",0.0922145328719723
"408",0.0919272727272727
"409",0.0915395061728395
"410",0.0909636488340192
"411",0.0907
"412",0.0905507936507936
"413",0.0902884297520661
"414",0.0901969387755102
"415",0.0901969387755102
"416",0.0901395870416518
"417",0.0901
"418",0.09
"419",0.09
"420",0.09
"421",0.0893918367346938
"422",0.0893918367346938
"423",0.0890459357277883
"424",0.0886985005767013
"425",0.0879172839506173
"426",0.0878662740591784
"427",0.0872901744719927
"428",0.0872440237966468
"429",0.0864027757487217
"430",0.0863961285609934
"431",0.0857502958579882
"432",0.0856013888888889
"433",0.0854
"434",0.0853569560047563
"435",0.0853
"436",0.0852753104455807
"437",0.0852164090368609
"438",0.0845545706371191
"439",0.0845545706371191
"440",0.084262962962963
"441",0.083981091211995
"442",0.0835662700773349
"443",0.083098347107438
"444",0.0830775510204082
"445",0.0828623268698061
"446",0.0826567901234568
"447",0.0826472222222222
"448",0.0826311385459533
"449",0.082279012345679
"450",0.0816035379812695
"451",0.0814842975206611
"452",0.0813267348429511
"453",0.0812469387755102
"454",0.0809616685890042
"455",0.0809459250446163
"456",0.0808913580246913
"457",0.0808913580246913
"458",0.080620999405116
"459",0.079896449704142
"460",0.0796
"461",0.0794654372397383
"462",0.0788419366322535
"463",0.0774757396449704
"464",0.077438683127572
"465",0.0771878892733564
"466",0.0770664819944598
"467",0.0769888888888889
"468",0.0769214285714286
"469",0.0769214285714286
"470",0.0766322314049587
"471",0.0766124183006536
"472",0.0761847645429363
"473",0.0761740740740741
"474",0.0760703703703704
"475",0.0760555555555555
"476",0.07600276816609
"477",0.0758816326530612
"478",0.0754024221453287
"479",0.0752604042806183
"480",0.0742
"481",0.07380078125
"482",0.0733746730083234
"483",0.073272528616025
"484",0.0732439619274241
"485",0.0725
"486",0.0724477893118032
"487",0.0719814814814815
"488",0.0715079084287201
"489",0.0706551565642057
"490",0.0705727810650887
"491",0.0704265306122449
"492",0.0700412894375857
"493",0.0700412894375857
"494",0.0698986851716581
"495",0.0698599286563615
"496",0.0698437869822485
"497",0.069762121751513
"498",0.0697609781477627
"499",0.0695806997308727
"500",0.0695739691795085
"501",0.0690863247863248
"502",0.0681289256198347
"503",0.0681
"504",0.067765306122449
"505",0.0673
"506",0.0672222222222222
"507",0.0672020408163265
"508",0.0661686390532544
"509",0.0658547291092745
"510",0.0658
"511",0.0657314128943758
"512",0.0655958412098299
"513",0.0655814814814815
"514",0.065490625
"515",0.0654347222222222
"516",0.0651900320398718
"517",0.0648080210387903
"518",0.0644231292517007
"519",0.0643565157750343
"520",0.0643495867768595
"521",0.06431171875
"522",0.0638208333333333
"523",0.0636175858480749
"524",0.0628941176470588
"525",0.0627172839506173
"526",0.0626712929145362
"527",0.0626527942925089
"528",0.0625
"529",0.0625
"530",0.0625
"531",0.06228359375
"532",0.0621432098765432
"533",0.0621396694214876
"534",0.0616432141484045
"535",0.0612732867508734
"536",0.0612637062668205
"537",0.0612061728395062
"538",0.0605962962962963
"539",0.0605415224913495
"540",0.0599090909090909
"541",0.0595602076124568
"542",0.059414334961218
"543",0.0593884297520661
"544",0.0591916666666667
"545",0.0589
"546",0.0584367550941945
"547",0.0582510107015458
"548",0.0578883381924198
"549",0.0577572016460905
"550",0.057703213610586
"551",0.0576
"552",0.0576
"553",0.0576
"554",0.0576
"555",0.0576
"556",0.0576
"557",0.0570436656133295
"558",0.0569
"559",0.0567094517958412
"560",0.056664209274673
"561",0.056534693877551
"562",0.0560054869684499
"563",0.0557714677640603
"564",0.055614938236139
"565",0.0555859225322782
"566",0.0555315263360246
"567",0.0553615384615384
"568",0.0550102040816327
"569",0.0550102040816327
"570",0.0549987654320988
"571",0.0549076923076923
"572",0.0544775510204082
"573",0.0544224360815857
"574",0.0543215500945179
"575",0.0541869665513264
"576",0.05395
"577",0.0539083333333333
"578",0.0537091836734694
"579",0.0537091836734694
"580",0.0531504132231405
"581",0.0531435626102293
"582",0.0530502958579882
"583",0.0528777777777778
"584",0.0527180555555555
"585",0.0524695133149679
"586",0.0521426303854875
"587",0.0521
"588",0.0520717057193248
"589",0.0518288422866992
"590",0.051778892733564
"591",0.051434375
"592",0.0514059313215401
"593",0.0511464808962942
"594",0.0511
"595",0.0510099173553719
"596",0.0507938775510204
"597",0.0506301038062284
"598",0.0501
"599",0.0500972708991669
"600",0.0500068663257853
"601",0.0499768133174792
"602",0.0499566503878196
"603",0.0499337278106509
"604",0.049820987654321
"605",0.0496875897730537
"606",0.0496540816326531
"607",0.0496540816326531
"608",0.049629013079667
"609",0.0495589774078478
"610",0.0495
"611",0.0491418282548477
"612",0.0490668639053255
"613",0.0484950413223141
"614",0.048180487804878
"615",0.0481798816568047
"616",0.04733527696793
"617",0.0469819944598338
"618",0.0469338189386056
"619",0.0469256198347107
"620",0.0466122085048011
"621",0.0466096966091612
"622",0.0465
"623",0.0464444444444444
"624",0.0460972702806613
"625",0.0458274894271434
"626",0.0455865569272977
"627",0.0453
"628",0.0452849332325523
"629",0.0452821740941275
"630",0.0449602665556018
"631",0.0447892349096501
"632",0.044718262938727
"633",0.0446705882352941
"634",0.04465
"635",0.0446210284401034
"636",0.0443866850321396
"637",0.0442
"638",0.0441609329446064
"639",0.044078971533517
"640",0.0437428571428572
"641",0.04355546875
"642",0.043496694214876
"643",0.0433646848989298
"644",0.043311921861534
"645",0.0431740740740741
"646",0.0427906574394464
"647",0.0424449442522107
"648",0.0423797731568998
"649",0.0419905817174515
"650",0.04141328125
"651",0.0412328719723183
"652",0.0412310529446758
"653",0.041176817558299
"654",0.0411639958376691
"655",0.0409444444444444
"656",0.0407483769031887
"657",0.04065
"658",0.0406150770512286
"659",0.0401053727613494
"660",0.0401
"661",0.0398444444444444
"662",0.0397318216175359
"663",0.0394306122448979
"664",0.0391113417916186
"665",0.0387857338820302
"666",0.0387512287334593
"667",0.0384934601664685
"668",0.0384157894736842
"669",0.0382597222222222
"670",0.0381677685950413
"671",0.03814296875
"672",0.0381328066647515
"673",0.0379236111111111
"674",0.0378793388429752
"675",0.037401775147929
"676",0.0371568998109641
"677",0.0366887573964497
"678",0.0365074074074074
"679",0.0362142857142857
"680",0.0358173553719008
"681",0.03565859375
"682",0.0353793388429752
"683",0.0352884773662552
"684",0.03504296875
"685",0.0349563343866705
"686",0.0349506887052341
"687",0.0349050565139798
"688",0.0348163265306122
"689",0.0344917839701235
"690",0.0343360246059208
"691",0.0343145328719723
"692",0.0342735253772291
"693",0.0341828282828283
"694",0.0341777777777778
"695",0.033841935483871
"696",0.0338343434343434
"697",0.0338069973087274
"698",0.0337061224489796
"699",0.0337
"700",0.0333261274880322
"701",0.032886920332937
"702",0.0327905482041588
"703",0.0327150891632373
"704",0.0322549841999425
"705",0.0322180555555555
"706",0.0320386056191467
"707",0.0320006920415225
"708",0.0318
"709",0.0315810939357907
"710",0.0314415110600402
"711",0.0309495842781557
"712",0.0308938775510204
"713",0.0305897506925208
"714",0.03057109375
"715",0.0305573407202216
"716",0.0303019158683882
"717",0.0299777777777778
"718",0.0298013888888889
"719",0.029723875432526
"720",0.0295614984391259
"721",0.0294612244897959
"722",0.0293328042328042
"723",0.0289836734693877
"724",0.028957943067034
"725",0.028923731138546
"726",0.0287765432098765
"727",0.0286429752066115
"728",0.0286327783558793
"729",0.0286125
"730",0.0284925089179548
"731",0.0284061728395062
"732",0.028263321799308
"733",0.0280446064139942
"734",0.0277805074971165
"735",0.0277714416896235
"736",0.0277020408163265
"737",0.0276448979591837
"738",0.0274061224489796
"739",0.0272335169880624
"740",0.0270425330812855
"741",0.0269753806377478
"742",0.0269375573921028
"743",0.0265668503213958
"744",0.0262666666666667
"745",0.0261480242079032
"746",0.0261
"747",0.0257955017301038
"748",0.0257
"749",0.0256049382716049
"750",0.0254421875
"751",0.0254223140495867
"752",0.0253758584807492
"753",0.0253246768170066
"754",0.0250835390946502
"755",0.025025
"756",0.024936068304873
"757",0.0246678638941399
"758",0.0246502057613169
"759",0.0246
"760",0.0244525377229081
"761",0.0242232323232323
"762",0.0241851239669421
"763",0.0241098765432099
"764",0.0239230814991077
"765",0.02384765625
"766",0.0235296296296296
"767",0.0232846648301194
"768",0.0231382716049383
"769",0.0230936942296252
"770",0.0227
"771",0.0226241965973535
"772",0.02255
"773",0.0225381274474902
"774",0.0219358276643991
"775",0.0218888888888889
"776",0.0218888888888889
"777",0.0216672219908372
"778",0.0214256248204539
"779",0.0210591836734694
"780",0.020997256515775
"781",0.0208889273356401
"782",0.02088125
"783",0.0208783196867212
"784",0.0208264308012487
"785",0.0207666666666666
"786",0.0202926118626431
"787",0.0202123966942149
"788",0.019739231824417
"789",0.01962890625
"790",0.0195472222222222
"791",0.0194281683043588
"792",0.0194074921956295
"793",0.0194
"794",0.0193111111111111
"795",0.0188612244897959
"796",0.0186666666666667
"797",0.0186426592797784
"798",0.0184783287419651
"799",0.0184777777777778
"800",0.0182980795610425
"801",0.0182770083102493
"802",0.0181635802469136
"803",0.0178279835390946
"804",0.0177825905872553
"805",0.0176471992653811
"806",0.017544536271809
"807",0.017075
"808",0.0170625
"809",0.017018701522551
"810",0.0167586776859504
"811",0.0167541838134431
"812",0.0167283746556474
"813",0.0166
"814",0.0161853076216713
"815",0.0161291493158834
"816",0.0160735537190083
"817",0.0160512345679012
"818",0.0160152436484798
"819",0.0156750229568411
"820",0.0156673469387755
"821",0.0154031550068587
"822",0.0153666666666667
"823",0.0152355357655846
"824",0.0151617283950617
"825",0.0150393351800554
"826",0.014934404536862
"827",0.0149207133058985
"828",0.0147431952662722
"829",0.0146492711370263
"830",0.0145507805325987
"831",0.014097052154195
"832",0.013975
"833",0.0134442330558858
"834",0.0133448979591837
"835",0.0133351800554017
"836",0.0132067932797663
"837",0.0131
"838",0.013099253088193
"839",0.0128777777777778
"840",0.012809640831758
"841",0.0127306122448979
"842",0.0126234375
"843",0.0125125
"844",0.01225
"845",0.0120100781053162
"846",0.0118551278368285
"847",0.0116662075298439
"848",0.0114938726948245
"849",0.0111375
"850",0.0109595478881618
"851",0.0109495906016376
"852",0.0103543209876543
"853",0.0103328741965106
"854",0.0103237832874197
"855",0.010265625
"856",0.00992222222222222
"857",0.009746875
"858",0.00956530314097882
"859",0.00924856309870887
"860",0.00904897959183673
"861",0.0090125
"862",0.00855510204081631
"863",0.00765401546698394
"864",0.00750329218106996
"865",0.00636745562130177
"866",0.0060875
"867",0.00606666666666667
"868",0.00594059178397013
"869",0.00480951814396193
"870",0.00477088713036235
"871",0.00459345627602618
"872",0.00436666666666666
"873",0.00399809637120762
"874",0.00398055555555556
"875",0.00396035379812695
"876",0.00370061728395062
"877",0.00348888888888889
"878",0.00345493827160495
"879",0.00336103509815586
"880",0.003243666223886
"881",0.0032084473527662
"882",0.00316241999758483
"883",0.00309533607681755
"884",0.00291167733365536
"885",0.00280925009056877
"886",0.00263111342351716
"887",0.00262663929477116
"888",0.00253719008264462
"889",0.00248688046647231
"890",0.00242433075550268
"891",0.00217867407317957
"892",0.00213702623906706
"893",0.0019640831758034
"894",0.00186849414321942
"895",0.00184999999999999
"896",0.00161111111111111
"897",0.00127037037037037
"898",0.000660404280618311
"899",0.000535539186088637
"900",0.000379954111822244
