pub_og_id	og_name	level_taxid	organism_taxid	organism_name	int_prot_id	pub_gene_id	description
EOG091G0OAO	Globin	33208	6087	Hydra vulgaris	6087:001fff	449676784	
EOG091G0OAO	Globin	33208	6334	Trichinella spiralis	6334:000fe8	EFV50254	Similarity:Belongs to the globin family.
EOG091G0OAO	Globin	33208	6412	Helobdella robusta	6412:003121	HelroG178903	Similarity:Belongs to the globin family.
EOG091G0OAO	Globin	33208	6526	Biomphalaria glabrata	6526:003095	BGLTMP012438-PA	
EOG091G0OAO	Globin	33208	6526	Biomphalaria glabrata	6526:002bd0	BGLTMP011217-PA	
EOG091G0OAO	Globin	33208	6526	Biomphalaria glabrata	6526:002a58	BGLTMP010841-PA	
EOG091G0OAO	Globin	33208	6526	Biomphalaria glabrata	6526:000197	BGLTMP000408-PA	
EOG091G0OAO	Globin	33208	6669	Daphnia pulex	6669:00756b	DAPPUDRAFT_96311	
EOG091G0OAO	Globin	33208	6669	Daphnia pulex	6669:007458	DAPPUDRAFT_93831	Hemoglobin  
EOG091G0OAO	Globin	33208	6669	Daphnia pulex	6669:005a60	DAPPUDRAFT_325182	
EOG091G0OAO	Globin	33208	6669	Daphnia pulex	6669:005a40	DAPPUDRAFT_325072	
EOG091G0OAO	Globin	33208	6669	Daphnia pulex	6669:002006	DAPPUDRAFT_234836	Hemoglobin  
EOG091G0OAO	Globin	33208	6669	Daphnia pulex	6669:001d17	DAPPUDRAFT_230333	
EOG091G0OAO	Globin	33208	7091	Bombyx mori	7091:0015eb	BGIBMGA005612	Globin  
EOG091G0OAO	Globin	33208	7130	Manduca sexta	7130:0014ee	Msex2.05385	
EOG091G0OAO	Globin	33208	7719	Ciona intestinalis	7719:001260	LOC100183005	Similarity:Belongs to the globin family.
EOG091G0OAO	Globin	33208	7739	Branchiostoma floridae	7739:003e7c	Brafl1	
EOG091G0OAO	Globin	33208	7739	Branchiostoma floridae	7739:001866	Brafl1	
EOG091G0OAO	Globin	33208	7757	Petromyzon marinus	7757:00204d	ENSPMAG00000008310	Similarity:Belongs to the globin family.
EOG091G0OAO	Globin	33208	7757	Petromyzon marinus	7757:00201c	Pma.6672	Similarity:Belongs to the globin family.
EOG091G0OAO	Globin	33208	7757	Petromyzon marinus	7757:001c36	ENSPMAG00000007259	Similarity:Belongs to the globin family.
EOG091G0OAO	Globin	33208	7757	Petromyzon marinus	7757:001789	Pma.586	Similarity:Belongs to the globin family.
EOG091G0OAO	Globin	33208	7757	Petromyzon marinus	7757:0014b4	ENSPMAG00000005328	Globin III
EOG091G0OAO	Globin	33208	7868	Callorhinchus milii	7868:00440f	103191115	Myoglobin
EOG091G0OAO	Globin	33208	7868	Callorhinchus milii	7868:003a6a	103188413	cytoglobin
EOG091G0OAO	Globin	33208	7868	Callorhinchus milii	7868:000253	103172290	cytoglobin-2-like
EOG091G0OAO	Globin	33208	7897	Latimeria chalumnae	7897:003998	CYGB	Similarity:Belongs to the globin family.
EOG091G0OAO	Globin	33208	7897	Latimeria chalumnae	7897:0036f0	LOC102356093	Similarity:Belongs to the globin family.
EOG091G0OAO	Globin	33208	7897	Latimeria chalumnae	7897:001d19	MB	Myoglobin
EOG091G0OAO	Globin	33208	7897	Latimeria chalumnae	7897:00066d	ENSLACG00000001661	Uncharacterized protein  
EOG091G0OAO	Globin	33208	7918	Lepisosteus oculatus	7918:00453b	ENSLOCG00000017762	Similarity:Belongs to the globin family.
EOG091G0OAO	Globin	33208	7918	Lepisosteus oculatus	7918:001eb0	ENSLOCG00000007868	Similarity:Belongs to the globin family.
EOG091G0OAO	Globin	33208	7950	Clupea harengus	7950:00470b	105907637	myoglobin
EOG091G0OAO	Globin	33208	7950	Clupea harengus	7950:002b7a	105900212	cytoglobin
EOG091G0OAO	Globin	33208	7955	Danio rerio	7955:0033c0	cygb2	Cytoglobin-2
EOG091G0OAO	Globin	33208	7955	Danio rerio	7955:0014ff	mb	Myoglobin
EOG091G0OAO	Globin	33208	7994	Astyanax mexicanus	7994:003dc6	ENSAMXG00000015815	Similarity:Belongs to the globin family.
EOG091G0OAO	Globin	33208	7994	Astyanax mexicanus	7994:002e3e	ENSAMXG00000011839	Myoglobin
EOG091G0OAO	Globin	33208	8010	Esox lucius	8010:00396f	105021622	cytoglobin
EOG091G0OAO	Globin	33208	8010	Esox lucius	8010:001a06	105013150	cytoglobin-2-like
EOG091G0OAO	Globin	33208	8010	Esox lucius	8010:00008b	105005749	myoglobin
EOG091G0OAO	Globin	33208	8049	Gadus morhua	8049:003460	ENSGMOG00000013787	cytoglobin 2 
EOG091G0OAO	Globin	33208	8049	Gadus morhua	8049:0010f0	ENSGMOG00000004477	cytoglobin 1 
EOG091G0OAO	Globin	33208	8078	Fundulus heteroclitus	8078:004a09	105936026	cytoglobin-1-like
EOG091G0OAO	Globin	33208	8078	Fundulus heteroclitus	8078:000f8f	105919532	cytoglobin-2
EOG091G0OAO	Globin	33208	8078	Fundulus heteroclitus	8078:00035f	105916153	myoglobin
EOG091G0OAO	Globin	33208	8083	Xiphophorus maculatus	8083:003024	ENSXMAG00000012342	Similarity:Belongs to the globin family.
EOG091G0OAO	Globin	33208	8083	Xiphophorus maculatus	8083:001ade	ENSXMAG00000006888	Myoglobin
EOG091G0OAO	Globin	33208	8083	Xiphophorus maculatus	8083:001806	ENSXMAG00000006158	Similarity:Belongs to the globin family.
EOG091G0OAO	Globin	33208	8090	Oryzias latipes	8090:002e92	cygb1	Similarity:Belongs to the globin family.
EOG091G0OAO	Globin	33208	8090	Oryzias latipes	8090:000f27	mb	Myoglobin
EOG091G0OAO	Globin	33208	8090	Oryzias latipes	8090:00025c	cygb	Similarity:Belongs to the globin family.
EOG091G0OAO	Globin	33208	8128	Oreochromis niloticus	8128:004bdf	LOC100700939	Similarity:Belongs to the globin family.
EOG091G0OAO	Globin	33208	8128	Oreochromis niloticus	8128:004734	LOC100706286	Similarity:Belongs to the globin family.
EOG091G0OAO	Globin	33208	8128	Oreochromis niloticus	8128:00464c	Mb	Myoglobin
EOG091G0OAO	Globin	33208	8153	Haplochromis burtoni	8153:0053ab	102312255	cytoglobin-1-like
EOG091G0OAO	Globin	33208	8153	Haplochromis burtoni	8153:004831	102308991	myoglobin
EOG091G0OAO	Globin	33208	8153	Haplochromis burtoni	8153:003368	102303061	cytoglobin
EOG091G0OAO	Globin	33208	8208	Notothenia coriiceps	8208:005bc4	104966930	cytoglobin-1-like
EOG091G0OAO	Globin	33208	8208	Notothenia coriiceps	8208:005b45	104966781	myoglobin
EOG091G0OAO	Globin	33208	8208	Notothenia coriiceps	8208:0025ca	104951565	cytoglobin-2
EOG091G0OAO	Globin	33208	8364	Xenopus (Silurana) tropicalis	8364:003bcb	gby	Similarity:Belongs to the globin family.
EOG091G0OAO	Globin	33208	8364	Xenopus (Silurana) tropicalis	8364:00283a	cygb	Similarity:Belongs to the globin family.
EOG091G0OAO	Globin	33208	8469	Chelonia mydas	8469:002512	EMP33158.1	myoglobin
EOG091G0OAO	Globin	33208	8469	Chelonia mydas	8469:002010	EMP31876.1	cytoglobin-1-like
EOG091G0OAO	Globin	33208	8469	Chelonia mydas	8469:000b17	EMP26507.1	cytoglobin-1-like
EOG091G0OAO	Globin	33208	8469	Chelonia mydas	8469:000068	EMP23772.1	cytoglobin
EOG091G0OAO	Globin	33208	8496	Alligator mississippiensis	8496:002b8c	102569755	myoglobin
EOG091G0OAO	Globin	33208	8496	Alligator mississippiensis	8496:00072c	102559610	cytoglobin-like
EOG091G0OAO	Globin	33208	8496	Alligator mississippiensis	8496:00005e	102557725	cytoglobin
EOG091G0OAO	Globin	33208	8665	Ophiophagus hannah	8665:0041b1	ETE72530.1	
EOG091G0OAO	Globin	33208	8665	Ophiophagus hannah	8665:00417b	ETE72476.1	
EOG091G0OAO	Globin	33208	8665	Ophiophagus hannah	8665:003bdb	ETE71036.1	
EOG091G0OAO	Globin	33208	8801	Struthio camelus	8801:002e4a	KFV86158.1	
EOG091G0OAO	Globin	33208	8801	Struthio camelus	8801:000e84	KFV78024.1	
EOG091G0OAO	Globin	33208	8801	Struthio camelus	8801:000810	KFV75768.1	
EOG091G0OAO	Globin	33208	8839	Anas platyrhynchos	8839:001b4d	MB	Myoglobin
EOG091G0OAO	Globin	33208	8839	Anas platyrhynchos	8839:001161	LOC101802841	Similarity:Belongs to the globin family.
EOG091G0OAO	Globin	33208	8839	Anas platyrhynchos	8839:000c04	CYGB	Similarity:Belongs to the globin family.
EOG091G0OAO	Globin	33208	8897	Chaetura pelagica	8897:00306d	KFU95739.1	myoglobin
EOG091G0OAO	Globin	33208	8897	Chaetura pelagica	8897:00156a	KFU88824.1	cytoglobin
EOG091G0OAO	Globin	33208	8897	Chaetura pelagica	8897:000778	KFU85254.1	cytoglobin-1-like
EOG091G0OAO	Globin	33208	8932	Columba livia	8932:003321	EMC89810.1	cytoglobin
EOG091G0OAO	Globin	33208	8932	Columba livia	8932:001f96	EMC84807.1	cytoglobin-1
EOG091G0OAO	Globin	33208	8932	Columba livia	8932:0010e4	EMC81045.1	myoglobin
EOG091G0OAO	Globin	33208	8954	Falco peregrinus	8954:001c28	101917624	cytoglobin
EOG091G0OAO	Globin	33208	8954	Falco peregrinus	8954:001581	101915883	myoglobin
EOG091G0OAO	Globin	33208	8954	Falco peregrinus	8954:000bea	101913378	globin-like
EOG091G0OAO	Globin	33208	8962	Aquila chrysaetos	8962:0034d1	105413795	
